sampno,perno,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner
4225,1,,2,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4225,2,,1,6,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4226,1,,2,3,-1,2,1,0,2,1,1,-1,12,60,5,2,4,-1,-1,0
4226,2,,1,6,-1,4,1,0,3,1,1,-1,24,120,5,2,4,-1,-1,0
4226,3,,1,6,-1,6,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4227,1,,2,6,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4229,1,,2,6,-1,5,1,0,1,1,1,-1,1,10,5,2,4,-1,-1,0
4231,1,,1,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4231,2,,2,6,-1,6,1,0,2,1,1,-1,35,280,4,2,2,1,40,0
4234,1,,1,3,-1,1,1,2,1,1,1,-1,3,3,1,1,1,1,2,0
4235,1,,2,6,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,0
4235,2,,1,6,-1,2,2,0,1,1,8,Toyota,40,400,5,2,4,-1,-1,0
4235,3,,2,7,White/Hispanic,3,2,0,4,-1,-1,-1,-1,-1,-1,-1,1,2,15,0
4235,4,,2,6,-1,4,4,0,2,1,8,Mother drives SVLB,8,70,5,2,1,8,20,0
4236,1,,2,2,-1,5,1,0,2,1,2,-1,5,20,4,2,4,-1,-1,0
4238,1,,2,4,-1,6,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,0
4239,1,,2,6,-1,4,3,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4239,2,,1,6,-1,5,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4240,1,,1,2,-1,8,1,2,3,1,1,-1,6,30,5,1,4,-1,-1,0
4240,2,,2,2,-1,8,1,20,1,1,1,-1,20,100,1,1,4,-1,-1,0
4245,1,,2,6,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4245,2,,1,6,-1,4,1,0,1,1,1,-1,50,350,7,2,4,-1,-1,0
4246,1,,1,2,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4246,2,,2,2,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4246,3,,1,2,-1,6,1,0,1,1,1,-1,40,300,6,2,4,-1,-1,0
4250,1,,1,6,-1,6,2,1,1,2,-1,-1,-1,-1,-1,-1,3,-1,-1,0
4251,1,,2,6,-1,6,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4251,2,,1,6,-1,4,2,0,1,1,1,-1,6,60,5,2,4,-1,-1,0
4252,1,,1,6,-1,6,1,0,1,1,1,-1,60,650,5,2,4,-1,-1,0
4252,2,,2,6,-1,6,1,0,1,1,1,-1,25,250,5,2,4,-1,-1,0
4254,1,,2,6,-1,5,1,0,2,1,1,-1,10,80,4,2,4,-1,-1,0
4254,2,,1,6,-1,6,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,0
4256,1,,2,2,-1,8,1,0,1,1,1,-1,7,60,4,2,4,-1,-1,0
4257,1,,2,3,-1,3,1,0,2,1,1,-1,17,170,5,2,4,-1,-1,0
4257,2,,2,3,-1,2,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
